Kod,Benämning
01.110,Odling av spannmål (utom ris) baljväxter och oljeväxter
01.120,Odling av ris
01.131,Potatisodling
01.132,Sockerbetsodling
01.133,Odling av grönsaker (köksväxter) på friland
01.134,Odling av grönsaker (köksväxter) i växthus
01.135,Svampodling m.m.
01.140,Odling av sockerrör
01.150,Odling av tobak
01.160,Odling av fiberväxter
01.191,Odling av prydnadsväxter i växthus
01.199,Odling av övriga ett- och tvååriga växter
01.210,Odling av druvor
01.220,Odling av tropiska och subtropiska frukter
01.230,Odling av citrusfrukter
01.240,Odling av kärnfrukter och stenfrukter
01.250,Odling av andra frukter bär samt nötter
01.260,Odling av oljehaltiga frukter
01.270,Odling av växter för dryckesframställning
01.280,Odling av kryddväxter drog- och medicinalväxter
01.290,Odling av andra fleråriga växter
01.301,Odling av plantskoleväxter i växthus
01.302,Odling av plantskoleväxter m.m. på friland
01.410,Mjölkproduktion och uppfödning av nötkreatur av mjölkras
01.420,Uppfödning av andra nötkreatur och bufflar
01.430,Uppfödning av hästar och andra hästdjur
01.440,Uppfödning av kameler och kameldjur
01.450,Uppfödning av får och getter
01.461,Uppfödning av smågrisar
01.462,Uppfödning av slaktsvin
01.471,Äggproduktion (för försäljning)
01.472,Uppfödning av fjäderfä ej äggproduktion
01.481,Renskötsel
01.482,Uppfödning av sällskapsdjur
01.489,Övrig uppfödning av andra djur
01.500,Blandat jordbruk
01.610,Stödverksamhet avseende växtodling
01.620,Stödverksamhet avseende husdjursskötsel
01.630,Bearbetning av skördade växter och utsäde
01.700,Jakt och service i anslutning härtill
02.101,Skogsförvaltning
02.102,Skogsskötsel
02.109,Övrig skoglig verksamhet
02.200,Drivning
02.300,Insamling av annat vilt växande skogsmaterial än trä
02.400,Stödverksamhet avseende skogsbruk
03.111,Trålfiske i saltvatten
03.119,Övrigt saltvattensfiske
03.120,Sötvattensfiske
03.210,Vattenbruk i saltvatten
03.220,Vattenbruk i sötvatten
03.300,Stödverksamhet avseende fiske och vattenbruk
05.100,Stenkolsutvinning
05.200,Brunkolsutvinning
06.100,Utvinning av råpetroleum
06.200,Utvinning av naturgas
07.100,Järnmalmsutvinning
07.210,Utvinning av uran- och toriummalm
07.290,Utvinning av annan malm
08.110,Brytning av natursten kalk- och gipssten skiffer eller annan sten
08.120,Utvinning av sand grus och berg samt utvinning av lera och kaolin
08.910,Utvinning av kemiska mineral
08.920,Torvutvinning
08.930,Saltutvinning
08.990,Diverse övrig utvinning av mineral
09.100,Stödverksamhet avseende råpetroleum- och naturgasutvinning
09.900,Stödverksamhet avseende annan utvinning
10.111,Kreatursslakt
10.112,Styckning av kött
10.120,Beredning och hållbarhetsbehandling av fjäderfäkött
10.130,Charkuteri- och annan köttvarutillverkning
10.200,Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur
10.310,Beredning och hållbarhetsbehandling av potatis
10.320,Juice- och safttillverkning
10.390,Annan beredning och hållbarhetsbehandling av frukt bär och grönsaker
10.410,Framställning av vegetabiliska och animaliska oljor och fetter
10.420,Matfettstillverkning
10.511,Osttillverkning
10.519,Annan mejerivarutillverkning
10.520,Tillverkning av glassvaror
10.611,Mjöltillverkning
10.612,Tillverkning av frukostflingor mixer och andra livsmedelsberedningar av kvarnprodukter
10.620,Stärkelsetillverkning
10.710,Tillverkning av mjukt matbröd och färska bakverk
10.721,Knäckebrödstillverkning
10.722,Tillverkning av kex och konserverade bakverk
10.730,Tillverkning av mjölprodukter
10.810,Sockertillverkning
10.820,Tillverkning av kakao choklad- och sockerkonfektyrer
10.830,Framställning av te och kaffe
10.840,Tillverkning av kryddor och andra smaksättare
10.850,Tillverkning av lagad mat och färdigrätter
10.860,Tillverkning av homogeniserade livsmedelsberedningar inklusive dietmat
10.890,Framställning av diverse övriga livsmedel
10.910,Framställning av beredda fodermedel
10.920,Framställning av mat till sällskapsdjur
11.010,Destillering rening och tillblandning av spritdrycker
11.020,Framställning av vin från druvor
11.030,Framställning av cider och andra jästa drycker av frukt
11.040,Framställning av andra icke-destillerade jästa drycker
11.050,Framställning av öl
11.060,Framställning av malt
11.070,Framställning av läskedrycker mineralvatten och annat vatten på flaska
12.000,Tobaksvarutillverkning
13.100,Garntillverkning
13.200,Vävnadstillverkning
13.300,Blekning färgning och annan textilberedning
13.910,Tillverkning av trikåväv
13.920,Tillverkning av hushållstextilier och andra sydda inredningsartiklar
13.930,Tillverkning av mattor
13.940,Tågvirkes- och bindgarnstillverkning
13.950,Tillverkning av bondad duk och varor av bondad duk
